单词,条件,M1-1,無声化,M1-2,無声化,M1-3,無声化,F1-1,無声化,F1-2,無声化,F1-3,無声化,M2-1,無声化,M2-2,無声化,M2-3,無声化,M3-1,無声化,M3-2,無声化,M3-3,無声化,F2-1,無声化,F2-2,無声化,F2-3,無声化,F3-1,無声化,F3-2,無声化,F3-3,無声化
nǝwtʰǝrxeː,nǝw,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,,nǝw,
nǝxmǝl,nǝx,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,,nǝx,
nǝxǝx,nǝ+x,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,无,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,,nǝ+x,
nǝkǝntʰ,nǝ+k,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,,ni+k,,ni+k,,nǝ+k,,nǝ+k,,nǝ+k,,nǝ+k,
nǝktukǝːr,nǝk,nǝk,,nǝk,,nǝk,,nǝk,,nik,,nǝk,,nǝk,,nǝk,,nǝk,,nǝk,,nǝk,,nǝk,,nik,,nik,,nǝk,,nǝk,,nǝk,,nǝk,
nǝmǝx,nǝ+m,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,,nǝ+m,
nǝmnǝx,nǝm,nǝm,,nǝm,,nǝm,,nǝm,,nǝm,,nǝm,,nam,,nǝm,,nǝm,,nǝm,,nǝm,,nǝm,,nam,,nǝm,,nǝm,,nǝm,,nǝm,,nǝm,
nǝlǝːt,nǝ+l,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,,nǝ+l,
nǝlkǝr,nǝl,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,,nal,,nǝl,,nǝl,,nǝl,,nǝl,,nǝl,
nǝsruːn,nǝs,nǝr,,nǝs,,nǝs,,nǝr,,nǝs,,nǝs,,nǝs,,nǝs,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝs,,nǝs,,nǝs,,nǝs,,nǝs,
nǝtʰkǝr,nǝtʰ,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,natʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,,nǝtʰ,
nǝtʰiːx,nǝ+tʰ,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,,nǝ+tʰ,
nǝrǝx,nǝ+r,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,,nǝ+r,
nǝrlǝx,nǝr,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,,nǝr,
nǝŋtʃɪx,nǝŋ,nǝŋ,,nǝŋ,,nǝŋ,,nǝn,,nǝn,,nǝn,,nǝŋ,,nǝŋ,,nǝŋ,,nǝn,,nǝn,,nǝn,,nǝk,,nǝk,,nǝŋ,,nǝn,,nǝn,,nǝn,
niwʃɪrtʰǝl,niw,niw,,niw,,niw,,niw,,niw,,niw,,nǝw,,niw,,niw,,niw,,niw,,niw,,nǝw,,nǝw,,nǝw,,niw,,niw,,niw,
nɿkʲʃɪx,nɿkʲ,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,,nɿkʲ,
nimpæː,nim,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,,nim,
nɿlʲʊːn,nɿ+lʲ,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,,nɿ+lʲ,
niltʃʰkai,nil,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,,nil,
nɪslax,nɪs,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,,nɪs,
nisʊltʰ,ni+s,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,,ni+s,
niʃʊːn,ni+ʃ,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+s,,ni+ʃ,,ni+s,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,,ni+ʃ,
nɪtnaːn,nɪt,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,,nɪt,
nɪtʃʰlax,nɪtʃʰ,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʰ,,nɪtʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,,nɪtʃʰ,
nɪtʃʰaːx,nɪ+tʃʰ,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,,nɪ+tʃʰ,
nitʃkǝːt,nitʃ,nitʃ,,nitʃ,,nitʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,nitʃ,,nitʃ,,nitʃ,,nɪ+tʃ,,nitʃ,,nitʃ,,nitʃ,,nitʃ,,nitʃ,
nitʃiknǝx,ni+tʃ,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,,ni+tʃ,
nirai,ni+r,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,,ni+r,
nirkǝx,nir,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,,nir,
niŋtʃɪn,niŋ,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,,niŋ,
nɔwʃrɔx,nɔw,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,,nɔw,
nɔxɔi,nɔ+x,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,,nɔ+x,
nɔkɔː,nɔ+k,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,,nɔ+k,
nɔktʰlɔx,nɔk,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔtʰ,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,,nɔk,
nɔmxɔn,nɔm,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,,nɔm,
nœmʲɔn,nœ+mʲ,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,,nœ+mʲ,
nœlʰɔk,nœ+lʲ,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,,nœ+lʲ,
nɔltʃʰikɔr,nɔl,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,,nɔl,
nɔtʃʰtʰɔi,nɔtʃʰ,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,,nɔtʃʰ,
nɔtʃʰɔx,nɔ+tʃʰ,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,,nɔ+tʃʰ,
nɔtʃɔːn,nɔ+tʃ,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,,nɔ+tʃ,
nɔjɔn,nɔ+j,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,,nɔ+j,
nɔjlɔx,nɔj,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,,nɔj,
nɔrɔx,nɔ+r,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nʊ+r,,nʊ+r,,nɔ+r,,nɔ+r,,nɔ+r,,nɔ+r,
nɔrkɔːx,nɔr,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,
nʊntak,nʊn,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nɔn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,
nʊxax,nʊ+x,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,,nʊ+x,
nʊxlax,nʊx,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,,nʊk,,nʊx,,nʊx,,nʊx,,nʊx,,nʊx,
nʊkarxæː,nʊ+k,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,,nʊ+k,
nʊkral,nʊk,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,,nʊk,
nʊmaltʃɪn,nʊ+m,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nɔ+m,,nɔ+m,,nʊ+m,,nʊ+m,,nʊ+m,,nʊ+m,
nʊmlax,nʊm,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nʊm,,nɔm,,nɔm,,nʊm,,nʊm,,nʊm,,nʊm,
nʊlak,nʊ+l,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊk,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,,nʊ+l,
nʊlmax,nʊl,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,,nɔl,,nʊl,,nʊl,,nʊl,,nʊl,,nʊl,
nʊtʰak,nʊ+tʰ,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,,nʊ+tʰ,
nʊtʰlax,nʊtʰ,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,,nɔtʰ,,nɔtʰ,,nʊtʰ,,nʊtʰ,,nʊtʰ,半,nʊtʰ,
nʊtrak,"nʊt ","nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",,"nʊt ",
nʊrax,nʊ+r,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊx,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nɔ+r,,nʊ+r,,nʊ+r,,nʊ+r,,nʊ+r,
nʊrʃɪx,nʊr,nʊr,,nʊr,,nʊr,,nʊr,,nʊr,,nʊr,,nʊr,,nʊr,,nʊr,,nɔr,,nɔr,,nɔr,,nɔr,,nɔr,,nʊr,,nʊr,,nʊr,,nʊr,
nʊŋʃɪx,nʊŋ,nʊn,,nʊŋ,,nʊŋ,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nʊn,,nɔn,,nɔn,,nɔn,,nʊn,,nɔn,,nɔn,,nʊn,,nʊn,,nʊn,
noxwor,nox,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,,nox,
noxox,no+x,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,,no+x,
nokoː,no+k,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,,no+k,
noktʃʰix,nok,nok,,nok,,nok,,nok,,nok,,nok,,non,,nok,,nok,,nok,,nok,,nok,,nok,,nok,,nok,,nok,,nok,,nok,
nomor,no+m,no+m,,no+m,,no+m,,nu+m,,nu+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,,no+m,
nomrox,nom,nom,,nom,,nom,,num,,num,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,,nom,
noloː,no+l,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,,no+l,
notʃit,no+tʃ,no+tʃ,,no+tʃ,,no+tʃ,,"nu+tʃ ",,no+tʃ,,no+tʃ,,non,,no+tʃ,,no+tʃ,,no+tʃ,,non,,non,,no+tʃ,,no+tʃ,,no+tʃ,,no+tʃ,,no+tʃ,,no+tʃ,
notʃrox,"notʃ ","notʃ ",,"notʃ ",,"notʃ ",,"nutʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",
norox,no+r,no+r,,no+r,,no+r,,nu+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,
norlox,"notʃ ",nor,,nor,,nor,,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,nol,,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",,"notʃ ",
nuxlǝx,no+r,nux,,nux,,nux,,no+r,,no+r,,no+r,,无,,无,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,,no+r,
numtʃǝk,num,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,,num,
nusǝr,nu+s,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,,nu+s,全
nutǝx,nu+t,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,,nu+t,
nutʃiknǝx,nu+tʃ,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nun,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,,nu+tʃ,
nutʃkǝntʰǝl,nutʃ,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,,nutʃ,
nurkix,nur,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,,nur,
pantakar,pan,pan,,pan,,pan,,pan,,pan,,pan,,pʰak,,pan,,pan,,pan,,pan,,pan,,pan,,pan,,pan,,pan,,pan,,pan,
papnax,pap,pap,,pap,,pam,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,,pap,
