人	重	元音	无声化	无声化（二进制）	音节（说的）	音节（预期）	词	前辅音（预期）	後辅音（预期）	前辅音（说的）	後辅音（说的）	笔记	怎么办？	Exclude
F1	1	i		FALSE	nir	nir	nirkǝx	n	r	n	r			
F1	1	i		FALSE	niŋ	niŋ	niŋtʃɪn	n	ŋ	n	ŋ			
F1	1	ɔ		FALSE	nɔw	nɔw	nɔwʃrɔx	n	w	n	w			
F1	1	ɔ		FALSE	nɔ+x	nɔ+x	nɔxɔi	n	+x	n	+x			
F1	1	ɔ		FALSE	nɔ+k	nɔ+k	nɔkɔː	n	+k	n	+k			
F1	1	ɔ		FALSE	nɔk	nɔk	nɔktʰlɔx	n	k	n	k			
F1	1	ɔ		FALSE	nɔm	nɔm	nɔmxɔn	n	m	n	m			
F1	1	œ		FALSE	nœ+mʲ	nœ+mʲ	nœmʲɔn	n	+mʲ	n	+mʲ			
F1	1	œ		FALSE	nœ+lʲ	nœ+lʲ	nœlʰɔk	n	+lʲ	n	+lʲ			
F1	1	ɔ		FALSE	nɔl	nɔl	nɔltʃʰikɔr	n	l	n	l			
F1	1	ɔ		FALSE	nɔtʃʰ	nɔtʃʰ	nɔtʃʰtʰɔi	n	tʃʰ	n	tʃʰ			
F1	1	ɔ		FALSE	nɔ+tʃʰ	nɔ+tʃʰ	nɔtʃʰɔx	n	+tʃʰ	n	+tʃʰ			
F1	1	ɔ		FALSE	nɔ+tʃ	nɔ+tʃ	nɔtʃɔːn	n	+tʃ	n	+tʃ			
F1	1	ɔ		FALSE	nɔ+j	nɔ+j	nɔjɔn	n	+j	n	+j			
F1	1	ɔ		FALSE	nɔj	nɔj	nɔjlɔx	n	j	n	j			
F1	1	ɔ		FALSE	nɔ+r	nɔ+r	nɔrɔx	n	+r	n	+r			
F1	1	ɔ		FALSE	nɔr	nɔr	nɔrkɔːx	n	r	n	r			
F1	1	ʊ		FALSE	nʊn	nʊn	nʊntɐk	n	n	n	n			
F1	1	ʊ		FALSE	nʊ+x	nʊ+x	nʊxɐx	n	+x	n	+x			
F1	1	ʊ		FALSE	nʊx	nʊx	nʊxlɐx	n	x	n	x			
F1	1	ʊ		FALSE	nʊ+k	nʊ+k	nʊkɐrxæː	n	+k	n	+k			
F1	1	ʊ		FALSE	nʊk	nʊk	nʊkrɐl	n	k	n	k			
F1	1	ʊ		FALSE	nʊ+m	nʊ+m	nʊmɐltʃɪn	n	+m	n	+m			
F1	1	ʊ		FALSE	nʊm	nʊm	nʊmlɐx	n	m	n	m			
F1	1	ʊ		FALSE	nʊ+l	nʊ+l	nʊlɐk	n	+l	n	+l			
F1	1	ʊ		FALSE	nʊl	nʊl	nʊlmɐx	n	l	n	l			
F1	1	ʊ		FALSE	nʊ+tʰ	nʊ+tʰ	nʊtʰɐk	n	+tʰ	n	+tʰ			
F1	1	ʊ		FALSE	nʊtʰ	nʊtʰ	nʊtʰlɐx	n	tʰ	n	tʰ			
F1	1	ʊ		FALSE	nʊt	nʊt	nʊtrɐk	n	t	n	t	space character		
F1	1	ʊ		FALSE	nʊ+r	nʊ+r	nʊrɐx	n	+r	n	+r			
F1	1	ʊ		FALSE	nʊr	nʊr	nʊrʃɪx	n	r	n	r			
F1	1	ʊ		FALSE	nʊn	nʊŋ	nʊŋʃɪx	n	ŋ	n	n			
F1	1	o		FALSE	nox	nox	noxwor	n	x	n	x			
F1	1	o		FALSE	no+x	no+x	noxox	n	+x	n	+x			
F1	1	o		FALSE	no+k	no+k	nokoː	n	+k	n	+k			
F1	1	o		FALSE	nok	nok	noktʃʰix	n	k	n	k			
F1	1	o		FALSE	nu+m	no+m	nomor	n	+m	n	+m			
F1	1	o		FALSE	num	nom	nomrox	n	m	n	m			
F1	1	o		FALSE	no+l	no+l	noloː	n	+l	n	+l			
F1	1	o		FALSE	nu+tʃ	no+tʃ	notʃit	n	+tʃ	n	+tʃ	space character		
F1	1	o		FALSE	nutʃ	notʃ	notʃrox	n	tʃ	n	tʃ	space character		
F1	1	o		FALSE	nu+r	no+r	norox	n	+r	n	+r			
F1	1	o		FALSE	notʃ	notʃ	norlox	n	tʃ	n	tʃ	space character		
F1	1	o		FALSE	no+r	no+r	nuxlǝx	n	+r	n	+r			
F1	1	u		FALSE	num	num	numtʃǝk	n	m	n	m			
F1	1	u		FALSE	nu+s	nu+s	nusǝr	n	+s	n	+s			
F1	1	u		FALSE	nu+t	nu+t	nutǝx	n	+t	n	+t			
F1	1	u		FALSE	nu+tʃ	nu+tʃ	nutʃiknǝx	n	+tʃ	n	+tʃ			
F1	1	u		FALSE	nutʃ	nutʃ	nutʃkǝntʰǝl	n	tʃ	n	tʃ			
F1	1	u		FALSE	nur	nur	nurkix	n	r	n	r			
F1	1	a		FALSE	pɐn	pɐn	pɐntɐkɐr	p	n	p	n			
F1	1	a		FALSE	pɐp	pɐp	pɐpnɐx	p	p	p	p			
F1	1	a		FALSE	pɐ+p	pɐ+p	pɐpɐix	p	+p	p	+p			
F1	1	a		FALSE	pɐx	pɐx	pɐxtʰɐi	p	x	p	x			
F1	1	a		FALSE	pɐ+x	pɐ+x	pɐxɐrmɐːr	p	+x	p	+x			
F1	1	a		FALSE	pɐ+k	pɐ+k	pɐkɐltʃʊːr	p	+k	p	+k			
F1	1	a		FALSE	pɐk	pɐk	pɐklɐx	p	k	p	k			
F1	1	a		FALSE	pɐm	pɐm	pɐmpɐr	p	m	p	m			
F1	1	a		FALSE	pɐ+l	pɐ+l	pɐlɐr	p	+l	p	+l			
F1	1	a		FALSE	pɐl	pɐl	pɐlrɐx	p	l	p	l			
F1	1	a		FALSE	pɐ+s	pɐ+s	pɐsɐx	p	+s	p	+s			
F1	1	a		FALSE	pɐs	pɐs	pɐstɐk	p	s	p	s			
F1	1	a		FALSE	pɐtʰ	pɐtʰ	pɐtʰlɐx	p	tʰ	p	tʰ			
F1	1	a		FALSE	pɐ+tʰ	pɐ+tʰ	pɐtʰɐtʰkɐl	p	+tʰ	p	+tʰ	space character		
F1	1	a		FALSE	pɐ+t	pɐ+t	pætʲɐrtʃʰɪn	p	+t	p	+t			
F1	1	a		FALSE	pɐt	pɐt	pɐtrɐx	p	t	p	t			
F1	1	a		FALSE	pɐ+tʃʰ	pɐ+tʃʰ	pɐtʃʰɪmtɐx	p	+tʃʰ	p	+tʃʰ			
F1	1	a		FALSE	pɐtʃʰ	pɐtʃʰ	pɐtʃʰlɐx	p	tʃʰ	p	tʃʰ			
F1	1	a		FALSE	pɐ+tʃ	pɐ+tʃ	pɐtʃɐːx	p	+tʃ	p	+tʃ	space character		
F1	1	a		FALSE	pɐtʃ	pɐtʃ	pɐtʃlɐx	p	tʃ	p	tʃ			
F1	1	a		FALSE	pɐj	pɐj	pɐjtʃix	p	j	p	j			
F1	1	a		FALSE	pɐ+j	pɐ+j	pɐjɐr	p	+j	p	+j			
F1	1	a		FALSE	pɐ+r	pɐ+r	pɐrɐx	p	+r	p	+r			
F1	1	a		FALSE	pɐr	pɐr	pɐrtɐm	p	r	p	r			
F1	1	ǝ		FALSE	pǝn	pǝn	pǝntʰeː	p	n	p	n			
F1	1	ǝ		FALSE	pǝ+n	pǝ+n	pǝnǝːn	p	+n	p	+n			
F1	1	ǝ		FALSE	pǝ+p	pǝ+p	pǝpǝix	p	+p	p	+p			
F1	1	ǝ		FALSE	pǝp	pǝp	pǝpnǝx	p	p	p	p			
F1	1	ǝ		FALSE	pǝx	pǝx	pǝxlǝx	p	x	p	x			
F1	1	ǝ		FALSE	pǝ+x	pǝ+x	pǝxǝːn	p	+x	p	+x			
F1	1	ǝ		FALSE	pǝk	pǝk	pǝktʰǝrǝx	p	k	p	k			
F1	1	ǝ		FALSE	pǝm	pǝm	pǝmpǝix	p	m	p	m			
F1	1	ǝ		FALSE	pǝ+l	pǝ+l	pǝlǝk	p	+l	p	+l			
F1	1	ǝ		FALSE	pǝl	pǝl	pǝltʃʰǝːr	p	l	p	l			
F1	1	ǝ		FALSE	pǝs	pǝs	pǝsrǝk	p	s	p	s			
F1	1	ǝ		FALSE	pǝ+tʰ	pǝ+tʰ	pǝtʰǝk	p	+tʰ	p	+tʰ			
F1	1	ǝ		FALSE	pǝtʰ	pǝtʰ	pǝtʰrǝx	p	tʰ	p	tʰ			
F1	1	ǝ		FALSE	pǝtʃʰ	pǝtʃʰ	pǝtʃʰtʰeː	p	tʃʰ	p	tʃʰ			
F1	1	ǝ		FALSE	pǝj	pǝj	pǝjlǝx	p	j	p	j			
F1	1	ǝ		FALSE	pǝ+j	pǝ+j	pǝjǝːn	p	+j	p	+j			
F1	1	ǝ		FALSE	pǝr	pǝr	pǝrpiːx	p	r	p	r			
F1	1	ǝ		FALSE	pǝ+r	pǝ+r	pǝrǝːt	p	+r	p	+r			
F1	1	i		FALSE	pin	pin	pintrjɐː	p	n	p	n			
F1	1	i		FALSE	pim	pim	pimwɐː	p	m	p	m			
F1	1	i		FALSE	pi+l	pi+l	pilǝk	p	+l	p	+l			
F1	1	ɪ		FALSE	pɪl	pɪl	pɪlxɐx	p	l	p	l	space character		
F1	1	i		FALSE	piʃ	piʃ	piʃrǝx	p	ʃ	p	ʃ			
F1	1	i		FALSE	pi+ʃ	pi+ʃ	piʃilkɐːl	p	+ʃ	p	+ʃ			
F1	1	i		FALSE	pi+tʰ	pi+tʰ	pitʰuː	p	+tʰ	p	+tʰ			
F1	1	i		FALSE	pitʰ	pitʰ	pitʰkiː	p	tʰ	p	tʰ			
F1	1	i		FALSE	pit	pit	pitnʊːs	p	t	p	t			
F1	1	ɪ		FALSE	pɪ+t	pɪ+t	pɪtʊː	p	+t	p	+t			
F1	1	ɪ		FALSE	pɪtʃʰ	pɪtʃʰ	pɪtʃʰxɐn	p	tʃʰ	p	tʃʰ			
F1	1	i		FALSE	pi+tʃʰ	pi+tʃʰ	pitʃʰik	p	+tʃʰ	p	+tʃʰ			
F1	1	i		FALSE	pi+tʃ	pi+tʃ	pitʃir	p	+tʃ	p	+tʃ			
F1	1	i		FALSE	pitʃ	pitʃ	pitʃrʊː	p	tʃ	p	tʃ			
F1	1	ɪ		FALSE	pɪ+r	pɪ+r	pɪrʊː	p	+r	p	+r			
F1	1	ɪ		FALSE	pɪr	pɪr	pɪrlɐk	p	r	p	r			
F1	1	ɔ		FALSE	pɔn	pɔn	pɔntʰkɔr	p	n	p	n			
F1	1	ɔ		FALSE	pɔ+w	pɔ+w	pɔwɔix	p	+w	p	+w			
F1	1	ɔ		FALSE	pɔw	pɔw	pɔwkɔnɔx	p	w	p	w			
F1	1	œ		FALSE	pœx	pœx	pœxtʰɔx	p	x	p	x			
F1	1	œ		FALSE	pœ+x	pœ+x	pœxʲirtʰɔl	p	+x	p	+x			
F1	1	œ		FALSE	pœ+k	pœ+k	pœkʲɔn	p	+k	p	+k			
F1	1	ɔ		FALSE	pɔk	pɔk	pɔktʃʰlɔx	p	k	p	k			
F1	1	ɔ		FALSE	pɔm	pɔm	pɔmpkɔr	p	m	p	m			
F1	1	ɔ		FALSE	pɔl	pɔl	pɔlmɔːr	p	l	p	l			
F1	1	œ		FALSE	pœ+l	pœ+l	pœlʲɔx	p	+l	p	+l			
F1	1	ɔ		FALSE	pɔ+s	pɔ+s	pɔsɔː	p	+s	p	+s			
F1	1	ɔ		FALSE	pɔs	pɔs	pɔslɔk	p	s	p	s			
F1	1	ɔ		FALSE	pɔ+ʃ	pɔ+ʃ	pɔʃɔk	p	+ʃ	p	+ʃ			
F1	1	ɔ		FALSE	pɔ+tʰ	pɔ+tʰ	pɔtʰɔk	p	+tʰ	p	+tʰ			
F1	1	ɔ		FALSE	pɔ+t	pɔ+t	pɔtɔx	p	+t	p	+t			
F1	1	ɔ		FALSE	pɔt	pɔt	pɔtlɔk	p	t	p	t			
F1	1	ɔ		FALSE	pɔ+r	pɔ+r	pɔrɔːn	p	+r	p	+r			
F1	1	ɔ		FALSE	pɔr	pɔr	pɔrlɔx	p	r	p	r			
F1	1	ɔ		FALSE	pɔŋ	pɔŋ	pɔŋxkɔr	p	ŋ	p	ŋ			
F1	1	ʊ		FALSE	pʊp	pʊp	pʊpkɐnɐx	p	p	p	p			
F1	1	ʊ		FALSE	pʊ+x	pʊ+x	pʊxʲɐntɐl	p	+x	p	+x			
F1	1	ʊ		FALSE	pʊx	pʊx	pʊxʲnɐx	p	x	p	x			
F1	1	ʊ		FALSE	pʊ+k	pʊ+k	pʊkʊiwtʃʰ	p	+k	p	+k			
F1	1	ʊ		FALSE	pʊk	pʊk	pʊklɐx	p	k	p	k			
F1	1	ʊ		FALSE	pʊm	pʊm	pʊmpɐix	p	m	p	m			
F1	1	ʊ		FALSE	pʊ+l	pʊ+l	pʊlɐːx	p	+l	p	+l			
F1	1	ʊ		FALSE	pʊl	pʊl	pʊlʃlɐx	p	l	p	l			
F1	1	ʊ		FALSE	pʊs	pʊs	pʊsnʲɐx	p	s	p	s			
F1	1	ʊ		FALSE	pʊ+s	pʊ+s	pʊsɐt	p	+s	p	+s			
F1	1	ʊ		FALSE	pʊ+ʃ	pʊ+ʃ	pʊʃʊː	p	+ʃ	p	+ʃ			
F1	1	ʊ		FALSE	pʊtʰ	pʊtʰ	pʊtʰlɐx	p	tʰ	p	tʰ			
F1	1	ʊ		FALSE	pʊ+tʰ	pʊ+tʰ	pʊtʰɐrxɐi	p	+tʰ	p	+tʰ			
F1	1	ʊ		FALSE	pʊ+t	pʊ+t	pʊtɐː	p	+t	p	+t			
F1	1	ʊ		FALSE	pʊt	pʊt	pʊtmɐl	p	t	p	t			
F1	1	ʊ		FALSE	pʊ+tʃʰ	pʊ+tʃʰ	pʊtʃʰɐːx	p	+tʃʰ	p	+tʃʰ			
F1	1	ʊ		FALSE	pʊtʃʰ	pʊtʃʰ	pʊtʃʰlɐx	p	tʃʰ	p	tʃʰ			
F1	1	ʊ		FALSE	pʊ+tʃ	pʊ+tʃ	pʊtʃɐr	p	+tʃ	p	+tʃ			
F1	1	ʊ		FALSE	pʊtʃ	pʊtʃ	pʊtʃkɐi	p	tʃ	p	tʃ			
F1	1	ʊ		FALSE	pʊ+j	pʊ+j	pʊjɐntʰɐɪ	p	+j	p	+j			
F1	1	ʊ		FALSE	pʊr	pʊr	pʊrkɐːs	p	r	p	r			
F1	1	ʊ		FALSE	pʊ+r	pʊ+r	pʊrʊː	p	+r	p	+r			
F1	1	ʊ		FALSE	pʊŋ	pʊŋ	pʊŋxlɐx	p	ŋ	p	ŋ			
F1	1	o		FALSE	pon	pon	pontʰkor	p	n	p	n			
F1	1	o		FALSE	po+p	po+p	popoːltʃ	p	+p	p	+p			
F1	1	o		FALSE	pox	pox	poxtʃʰin	p	x	p	x			
F1	1	o		FALSE	po+x	po+x	poxoix	p	+x	p	+x			
F1	1	o		FALSE	po+k	po+k	pokot	p	+k	p	+k			
F1	1	o		FALSE	pok	pok	poklorox	p	k	p	k			
F1	1	o		FALSE	pom	pom	pompok	p	m	p	m			
F1	1	o		FALSE	pol	pol	poltʃʰkor	p	l	p	l			
F1	1	o		FALSE	po+l	po+l	poloːn	p	+l	p	+l			
F1	1	o		FALSE	po+tʰ	po+tʰ	potʰoːl	p	+tʰ	p	+tʰ			
F1	1	o		FALSE	potʰ	potʰ	potʰmoːr	p	tʰ	p	tʰ			
F1	1	o		FALSE	po+t	po+t	poton	p	+t	p	+t			
F1	1	o		FALSE	po+tʃ	po+tʃ	potʃik	p	+tʃ	p	+tʃ			
F1	1	o		FALSE	potʃ	potʃ	potʃkonox	p	tʃ	p	tʃ			
F1	1	o		FALSE	por	por	portʰoix	p	r	p	r			
F1	1	o		FALSE	poŋ	poŋ	poŋʃix	p	ŋ	p	ŋ			
F1	1	o		FALSE	pup	po+tʃ	pupnǝx	p	+tʃ	p	p			
F1	1	o		FALSE	pu+x	potʃ	puxǝl	p	tʃ	p	+x			
F1	1	u		FALSE	puk	puk	puktʃʰɪm	p	k	p	k			
F1	1	u		FALSE	pul	pul	pultʰkǝr	p	l	p	l			
F1	1	u		FALSE	pu+l	pu+l	pulǝx	p	+l	p	+l			
F1	1	u		FALSE	pus	pus	pusluːr	p	s	p	s			
F1	1	u		FALSE	pu+s	pu+s	pusǝːn	p	+s	p	+s			
F1	1	u		FALSE	pu+tʰ	pu+tʰ	putʰǝx	p	+tʰ	p	+tʰ			
F1	1	u		FALSE	putʰ	putʰ	putʰmǝːr	p	tʰ	p	tʰ			
F1	1	u		FALSE	pu+t	pu+t	putuːn	p	+t	p	+t			
F1	1	u		FALSE	pu+t	put	putrǝx	p	t	p	+t			
F1	1	u		FALSE	putʃʰ	putʃʰ	putʃʰlǝx	p	tʃʰ	p	tʃʰ			
F1	1	u		FALSE	pu+tʃʰ	pu+tʃʰ	putʃʰǝːn	p	+tʃʰ	p	+tʃʰ			
F1	1	u		FALSE	pur	pur	purxǝx	p	r	p	r			
F1	1	u		FALSE	pu+r	pu+r	purǝx	p	+r	p	+r			
F1	1	u		FALSE	puŋ	puŋ	buŋxkǝr	p	ŋ	p	ŋ			
F1	1	a		FALSE	pʰɐn	pʰɐn	pʰɐnsɐtʃɪn	pʰ	n	pʰ	n			
F1	1	a		FALSE	pʰɐk	pʰɐk	pʰɐktɐkɐr	pʰ	k	pʰ	k			
F1	1	a		FALSE	pʰɐm	pʰɐm	pʰɐmpɐkɐr	pʰ	m	pʰ	m			
F1	1	a		FALSE	pʰɐl	pʰɐl	pʰɐltʰɐkɐr	pʰ	l	pʰ	l			
F1	1	a		FALSE	pʰɐs	pʰɐs	pʰɐskix	pʰ	s	pʰ	s			
F1	1	a		FALSE	pʰɐ+t	pʰɐ+t	pʰɐtɐŋ	pʰ	+t	pʰ	+t			
F1	1	a		FALSE	pʰɐt	pʰɐt	pʰɐtrɐŋ	pʰ	t	pʰ	t			
F1	1	a		FALSE	pʰɐtʃʰ	pʰɐtʃʰ	pʰɐtʃʰkɪnǝx	pʰ	tʃʰ	pʰ	tʃʰ			
F1	1	a		FALSE	pʰɐr	pʰɐr	pʰɐrkɪx	pʰ	r	pʰ	r			
F1	1	ǝ		FALSE	pʰǝs	pʰǝs	pʰǝskɪx	pʰ	s	pʰ	s			
F1	1	ǝ		FALSE	pʰǝr	pʰǝr	pʰǝrtʃiknǝx	pʰ	r	pʰ	r			
F1	1	i		FALSE	pʰin	pʰiŋ	pʰiŋsɐkɐr	pʰ	ŋ	pʰ	n			
F1	1	i		FALSE	pʰin	pʰin	pʰintɐkɐr	pʰ	n	pʰ	n			
F1	1	i		FALSE	pʰi+l	pʰi+l	pʰilæːx	pʰ	+l	pʰ	+l			
F1	1	i		FALSE	pʰil	pʰil	pʰiltʰkɐr	pʰ	l	pʰ	l			
F1	1	i		FALSE	pʰi+tʃʰ	pʰi+tʃʰ	pʰitʃʰiknǝx	pʰ	+tʃʰ	pʰ	+tʃʰ			
F1	1	i		FALSE	pʰir	pʰir	pʰirtʃʰiknǝx	pʰ	r	pʰ	r			
F1	1	ɔ		FALSE	pʰɔn	pʰɔk	pʰɔkʃɪx	pʰ	k	pʰ	n			
F1	1	ɔ		FALSE	pʰɔ+l	pʰɔ+l	pʰɔlɔŋ	pʰ	+l	pʰ	+l			
F1	1	ɔ		FALSE	pʰɔr	pʰɔr	pʰɔrkix	pʰ	r	pʰ	r			
F1	1	o		FALSE	pʰom	pʰom	pʰompokor	pʰ	m	pʰ	m			
F1	1	o		FALSE	pʰo+l	pʰo+l	pʰoloŋ	pʰ	+l	pʰ	+l			
F1	1	u		FALSE	pʰus	pʰus	pʰuskɪx	pʰ	s	pʰ	s			
F1	1	u		FALSE	pʰur	pʰur	pʰurtkɪx	pʰ	r	pʰ	r			
F1	1	a		FALSE	xɐn	xɐn	xɐntʰɐːs	x	n	x	n			
F1	1	a		FALSE	xɐ+n	xɐ+n	xɐnɐmtʃ	x	+n	x	+n			
F1	1	a		FALSE	xɐw	xɐw	xɐwtɐr	x	w	x	w			
F1	1	a		FALSE	xɐ+w	xɐ+w	xɐwɐr	x	+w	x	+w			
F1	1	a		FALSE	xɐ+x	xɐ+x	xɐxɐx	x	+x	x	+x			
F1	1	æ		FALSE	xæx	xæx	xæxnɐx	x	x	x	x			
F1	1	a		FALSE	xɐk	xɐk	xɐklɐx	x	k	x	k			
F1	1	a		FALSE	xɐ+k	xɐ+k	xɐkɐs	x	+k	x	+k			
F1	1	a		FALSE	xɐm	xɐm	xæmxʲɐx	x	m	x	m			
F1	1	a		FALSE	xɐ+m	xɐ+m	xɐmɐr	x	+m	x	+m			
F1	1	a		FALSE	xɐ+l	xɐ+l	xɐlɐx	x	+l	x	+l			
F1	1	a		FALSE	xɐl	xɐl	xɐltɐx	x	l	x	l			
F1	1	a		FALSE	xɐ+s	xɐ+s	xɐsɐx	x	+s	x	+s			
F1	1	a		FALSE	xɐs	xɐs	xɐstɐk	x	s	x	s			
F1	1	a		FALSE	xɐ+ʃ	xɐ+ʃ	xɐʃɪx	x	+ʃ	x	+ʃ			
F1	1	a		FALSE	xɐʃ	xɐʃ	xɐʃlɐk	x	ʃ	x	ʃ			
F1	1	a		FALSE	xɐ+tʰ	xɐ+tʰ	xɐtʰɐx	x	+tʰ	x	+tʰ			
F1	1	a		FALSE	xɐtʰ	xɐtʰ	xɐtʰkɐx	x	tʰ	x	tʰ			
F1	1	a		FALSE	xɐt	xɐt	xɐtlɐŋ	x	t	x	t			
F1	1	a		FALSE	xɐ+t	xɐ+t	xɐtɐx	x	+t	x	+t			
F1	1	a		FALSE	xɐ+tʃʰ	xɐ+tʃʰ	xɐtʃʰir	x	+tʃʰ	x	+tʃʰ			
F1	1	a		FALSE	xɐ+tʃ	xɐ+tʃ	xɐtʃɐix	x	+tʃ	x	+tʃ			
F1	1	a		FALSE	xɐtʃ	xɐtʃ	xɐtʃkɐi	x	tʃ	x	tʃ			
F1	1	a		FALSE	xɐ+j	xɐ+j	xɐjɐx	x	+j	x	+j			
F1	1	a		FALSE	xɐj	xɐj	xɐjlɐx	x	j	x	j			
F1	1	a		FALSE	xɐr	xɐr	xɐrlɐx	x	r	x	r			
F1	1	a		FALSE	xɐ+r	xɐ+r	xɐrɐx	x	+r	x	+r			
F1	1	a		FALSE	xɐŋ	xɐŋ	xɐŋxlɐx	x	ŋ	x	ŋ			
F1	1	ǝ		FALSE	xǝn	xǝn	xǝntʃtǝx	x	n	x	n			
F1	1	ǝ		FALSE	xǝw	xǝw	xǝwrǝk	x	w	x	w			
F1	1	ǝ		FALSE	xǝ+w	xǝ+w	xǝwǝl	x	+w	x	+w			
F1	1	ǝ		FALSE	xǝx	xǝx	xǝxrǝx	x	x	x	x			
F1	1	ǝ		FALSE	xǝk	xǝk	xǝktʃuːn	x	k	x	k			
F1	1	ǝ		FALSE	xǝm	xǝm	xǝmlǝx	x	m	x	m			
